ENSG00000117560	ENSG00000117560 -> P48023-1;P48023-2	P48023	TNFL6_HUMAN
ENSG00000064012		A0A0A0MS31	A0A0A0MS31_HUMAN
ENSG00000064012		C9JB29	C9JB29_HUMAN
ENSG00000064012		E7EQ01	E7EQ01_HUMAN
ENSG00000064012		E7EQ06	E7EQ06_HUMAN
ENSG00000064012		E7ETB7	E7ETB7_HUMAN
ENSG00000064012		E7EVN1	E7EVN1_HUMAN
ENSG00000064012		F8WF39	F8WF39_HUMAN
ENSG00000064012		H7BZM4	H7BZM4_HUMAN
ENSG00000064012		H7C0E2	H7C0E2_HUMAN
ENSG00000064012	ENSG00000064012 -> Q14790-1;Q14790-2;Q14790-3;Q14790-4;Q14790-5;Q14790-9	Q14790	CASP8_HUMAN
ENSG00000008226		Q32W76	Q32W76_HUMAN
ENSG00000008226	ENSG00000008226 -> Q9Y238-1;Q9Y238-3	Q9Y238	DLEC1_HUMAN
ENSG00000068028	ENSG00000068028 -> Q9NS23-1;Q9NS23-2;Q9NS23-3;Q9NS23-4;Q9NS23-6;Q9NS23-7	Q9NS23	RASF1_HUMAN
ENSG00000121879		C9J951	C9J951_HUMAN
ENSG00000121879		C9JAM9	C9JAM9_HUMAN
ENSG00000121879		P42336	PK3CA_HUMAN
ENSG00000125347		C9J9C5	C9J9C5_HUMAN
ENSG00000125347		C9JD95	C9JD95_HUMAN
ENSG00000125347		F8WCM1	F8WCM1_HUMAN
ENSG00000125347		P10914	IRF1_HUMAN
ENSG00000125347		R4GNI0	R4GNI0_HUMAN
ENSG00000125347		V9P921	V9P921_HUMAN
ENSG00000185345		A0A087WU39	A0A087WU39_HUMAN
ENSG00000185345		A0A087WX46	A0A087WX46_HUMAN
ENSG00000185345		A0A087X0Z9	A0A087X0Z9_HUMAN
ENSG00000185345		A0A087X1E2	A0A087X1E2_HUMAN
ENSG00000185345		B1AKC3	B1AKC3_HUMAN
ENSG00000185345	ENSG00000185345 -> O60260-1;O60260-2;O60260-3;O60260-4;O60260-6	O60260	PRKN2_HUMAN
ENSG00000146648		C9JYS6	C9JYS6_HUMAN
ENSG00000146648		E9PFD7	E9PFD7_HUMAN
ENSG00000146648	ENSG00000146648 -> P00533-1;P00533-2;P00533-3;P00533-4	P00533	EGFR_HUMAN
ENSG00000146648		Q504U8	Q504U8_HUMAN
ENSG00000157764		H7C4S5	H7C4S5_HUMAN
ENSG00000157764		H7C560	H7C560_HUMAN
ENSG00000157764		H7C5K3	H7C5K3_HUMAN
ENSG00000157764		P15056	BRAF_HUMAN
ENSG00000107968	ENSG00000107968 -> P41279-1	P41279	M3K8_HUMAN
ENSG00000107968		Q5T853	Q5T853_HUMAN
ENSG00000107968		Q5T854	Q5T854_HUMAN
ENSG00000107968		Q5T857	Q5T857_HUMAN
ENSG00000225830		A0A096LNQ7	A0A096LNQ7_HUMAN
ENSG00000225830		D6R9X7	D6R9X7_HUMAN
ENSG00000225830	ENSG00000225830 -> Q03468-1;Q03468-2	Q03468	ERCC6_HUMAN
ENSG00000110628		E9PMN7	E9PMN7_HUMAN
ENSG00000110628		E9PRM7	E9PRM7_HUMAN
ENSG00000110628		Q96BI1	S22AI_HUMAN
ENSG00000137713		E9PHZ6	E9PHZ6_HUMAN
ENSG00000137713		E9PNM7	E9PNM7_HUMAN
ENSG00000137713		E9PPI5	E9PPI5_HUMAN
ENSG00000137713		H0YDG7	H0YDG7_HUMAN
ENSG00000137713	ENSG00000137713 -> P30154-1;P30154-2;P30154-3;P30154-4;P30154-5	P30154	2AAB_HUMAN
ENSG00000133703		G3V4K2	G3V4K2_HUMAN
ENSG00000133703		G3V5T7	G3V5T7_HUMAN
ENSG00000133703	ENSG00000133703 -> P01116-1;P01116-2	P01116	RASK_HUMAN
ENSG00000141736		B4DTR1	B4DTR1_HUMAN
ENSG00000141736		F5H1T4	F5H1T4_HUMAN
ENSG00000141736		J3KRI9	J3KRI9_HUMAN
ENSG00000141736		J3KTI5	J3KTI5_HUMAN
ENSG00000141736		J3QL83	J3QL83_HUMAN
ENSG00000141736		J3QLU9	J3QLU9_HUMAN
ENSG00000141736		J3QLV2	J3QLV2_HUMAN
ENSG00000141736		J3QRJ7	J3QRJ7_HUMAN
ENSG00000141736		J3QRX1	J3QRX1_HUMAN
ENSG00000141736	ENSG00000141736 -> P04626-1;P04626-4;P04626-5	P04626	ERBB2_HUMAN
ENSG00000255974		M0R2Z4	M0R2Z4_HUMAN
ENSG00000255974		P11509	CP2A6_HUMAN
