Q9H479	FN3K_HUMAN	reviewed	Fructosamine-3-kinase (EC 2.7.1.-)	FN3K	Homo sapiens (Human)	309
P06241	FYN_HUMAN	reviewed	Tyrosine-protein kinase Fyn (EC 2.7.10.2) (Proto-oncogene Syn) (Proto-oncogene c-Fyn) (Src-like kinase) (SLK) (p59-Fyn)	FYN	Homo sapiens (Human)	537
Q9Y2I7	FYV1_HUMAN	reviewed	1-phosphatidylinositol 3-phosphate 5-kinase (Phosphatidylinositol 3-phosphate 5-kinase) (EC 2.7.1.150) (FYVE finger-containing phosphoinositide kinase) (PIKfyve) (Phosphatidylinositol 3-phosphate 5-kinase type III) (PIPkin-III) (Type III PIP kinase)	PIKFYVE KIAA0981 PIP5K3	Homo sapiens (Human)	2098
P42685	FRK_HUMAN	reviewed	Tyrosine-protein kinase FRK (EC 2.7.10.2) (FYN-related kinase) (Nuclear tyrosine protein kinase RAK) (Protein-tyrosine kinase 5)	FRK PTK5 RAK	Homo sapiens (Human)	505
P11362	FGFR1_HUMAN	reviewed	Fibroblast growth factor receptor 1 (FGFR-1) (EC 2.7.10.1) (Basic fibroblast growth factor receptor 1) (BFGFR) (bFGF-R-1) (Fms-like tyrosine kinase 2) (FLT-2) (N-sam) (Proto-oncogene c-Fgr) (CD antigen CD331)	FGFR1 BFGFR CEK FGFBR FLG FLT2 HBGFR	Homo sapiens (Human)	822
P21802	FGFR2_HUMAN	reviewed	Fibroblast growth factor receptor 2 (FGFR-2) (EC 2.7.10.1) (K-sam) (KGFR) (Keratinocyte growth factor receptor) (CD antigen CD332)	FGFR2 BEK KGFR KSAM	Homo sapiens (Human)	821
P22455	FGFR4_HUMAN	reviewed	Fibroblast growth factor receptor 4 (FGFR-4) (EC 2.7.10.1) (CD antigen CD334)	FGFR4 JTK2 TKF	Homo sapiens (Human)	802
P51570	GALK1_HUMAN	reviewed	Galactokinase (EC 2.7.1.6) (Galactose kinase)	GALK1 GALK	Homo sapiens (Human)	392
Q8N0W3	FUK_HUMAN	reviewed	L-fucose kinase (Fucokinase) (EC 2.7.1.52)	FUK	Homo sapiens (Human)	1084
Q01415	GALK2_HUMAN	reviewed	N-acetylgalactosamine kinase (EC 2.7.1.157) (GalNAc kinase) (Galactokinase 2)	GALK2 GK2	Homo sapiens (Human)	458
O14976	GAK_HUMAN	reviewed	Cyclin-G-associated kinase (EC 2.7.11.1)	GAK	Homo sapiens (Human)	1311
Q9Y223	GLCNE_HUMAN	reviewed	Bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase (UDP-GlcNAc-2-epimerase/ManAc kinase) [Includes: UDP-N-acetylglucosamine 2-epimerase (hydrolyzing) (EC 3.2.1.183) (UDP-GlcNAc-2-epimerase) (Uridine diphosphate-N-acetylglucosamine-2-epimerase); N-acetylmannosamine kinase (EC 2.7.1.60) (ManAc kinase)]	GNE GLCNE	Homo sapiens (Human)	722
Q14410	GLPK2_HUMAN	reviewed	Glycerol kinase 2 (GK 2) (Glycerokinase 2) (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase 2) (Glycerol kinase, testis specific 2)	GK2 GKP2 GKTA	Homo sapiens (Human)	553
Q8IVS8	GLCTK_HUMAN	reviewed	Glycerate kinase (EC 2.7.1.31) (HBeAg-binding protein 4)	GLYCTK HBEBP4 LP5910	Homo sapiens (Human)	523
Q14409	GLPK3_HUMAN	reviewed	Glycerol kinase 3 (GK 3) (Glycerokinase 3) (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase 3) (Glycerol kinase 3 pseudogene) (Glycerol kinase, testis specific 1)	GK3P GKP3 GKTB	Homo sapiens (Human)	553
Q8WTQ7	GRK7_HUMAN	reviewed	Rhodopsin kinase (EC 2.7.11.14) (G protein-coupled receptor kinase 7) (G protein-coupled receptor kinase GRK7)	GRK7 GPRK7	Homo sapiens (Human)	553
P49840	GSK3A_HUMAN	reviewed	Glycogen synthase kinase-3 alpha (GSK-3 alpha) (EC 2.7.11.26) (Serine/threonine-protein kinase GSK3A) (EC 2.7.11.1)	GSK3A	Homo sapiens (Human)	483
P32189	GLPK_HUMAN	reviewed	Glycerol kinase (GK) (Glycerokinase) (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase)	GK	Homo sapiens (Human)	559
P43250	GRK6_HUMAN	reviewed	G protein-coupled receptor kinase 6 (EC 2.7.11.16) (G protein-coupled receptor kinase GRK6)	GRK6 GPRK6	Homo sapiens (Human)	576
P32298	GRK4_HUMAN	reviewed	G protein-coupled receptor kinase 4 (EC 2.7.11.16) (G protein-coupled receptor kinase GRK4) (ITI1)	GRK4 GPRK2L GPRK4	Homo sapiens (Human)	578
P34947	GRK5_HUMAN	reviewed	G protein-coupled receptor kinase 5 (EC 2.7.11.16) (G protein-coupled receptor kinase GRK5)	GRK5 GPRK5	Homo sapiens (Human)	590
Q6ZS86	GLPK5_HUMAN	reviewed	Putative glycerol kinase 5 (GK 5) (Glycerokinase 5) (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase 5)	GK5	Homo sapiens (Human)	529
P49841	GSK3B_HUMAN	reviewed	Glycogen synthase kinase-3 beta (GSK-3 beta) (EC 2.7.11.26) (Serine/threonine-protein kinase GSK3B) (EC 2.7.11.1)	GSK3B	Homo sapiens (Human)	420
Q8TF76	HASP_HUMAN	reviewed	Serine/threonine-protein kinase haspin (EC 2.7.11.1) (Germ cell-specific gene 2 protein) (H-haspin) (Haploid germ cell-specific nuclear protein kinase)	GSG2	Homo sapiens (Human)	798
Q5T6J7	GNTK_HUMAN	reviewed	Probable gluconokinase (EC 2.7.1.12) (Gluconate kinase)	IDNK C9orf103	Homo sapiens (Human)	187
P08631	HCK_HUMAN	reviewed	Tyrosine-protein kinase HCK (EC 2.7.10.2) (Hematopoietic cell kinase) (Hemopoietic cell kinase) (p59-HCK/p60-HCK) (p59Hck) (p61Hck)	HCK	Homo sapiens (Human)	526
Q96GX5	GWL_HUMAN	reviewed	Serine/threonine-protein kinase greatwall (GW) (GWL) (hGWL) (EC 2.7.11.1) (Microtubule-associated serine/threonine-protein kinase-like) (MAST-L)	MASTL GW GWL THC2	Homo sapiens (Human)	879
Q2TB90	HKDC1_HUMAN	reviewed	Putative hexokinase HKDC1 (EC 2.7.1.1) (Hexokinase domain-containing protein 1)	HKDC1	Homo sapiens (Human)	917
Q8NE63	HIPK4_HUMAN	reviewed	Homeodomain-interacting protein kinase 4 (EC 2.7.11.1)	HIPK4	Homo sapiens (Human)	616
Q9H422	HIPK3_HUMAN	reviewed	Homeodomain-interacting protein kinase 3 (EC 2.7.11.1) (Androgen receptor-interacting nuclear protein kinase) (ANPK) (Fas-interacting serine/threonine-protein kinase) (FIST) (Homolog of protein kinase YAK1)	HIPK3 DYRK6 FIST3 PKY	Homo sapiens (Human)	1215
Q86Z02	HIPK1_HUMAN	reviewed	Homeodomain-interacting protein kinase 1 (EC 2.7.11.1) (Nuclear body-associated kinase 2)	HIPK1 KIAA0630 MYAK NBAK2	Homo sapiens (Human)	1210
P52789	HXK2_HUMAN	reviewed	Hexokinase-2 (EC 2.7.1.1) (Hexokinase type II) (HK II) (Muscle form hexokinase)	HK2	Homo sapiens (Human)	917
P52790	HXK3_HUMAN	reviewed	Hexokinase-3 (EC 2.7.1.1) (Hexokinase type III) (HK III)	HK3	Homo sapiens (Human)	923
P19367	HXK1_HUMAN	reviewed	Hexokinase-1 (EC 2.7.1.1) (Brain form hexokinase) (Hexokinase type I) (HK I)	HK1	Homo sapiens (Human)	917
A2RU49	HYKK_HUMAN	reviewed	Hydroxylysine kinase (5-hydroxy-L-lysine kinase) (EC 2.7.1.81) (Aminoglycoside phosphotransferase domain-containing protein 1)	HYKK AGPHD1	Homo sapiens (Human)	373
Q9UPZ9	ICK_HUMAN	reviewed	Serine/threonine-protein kinase ICK (EC 2.7.11.1) (Intestinal cell kinase) (hICK) (Laryngeal cancer kinase 2) (LCK2) (MAK-related kinase) (MRK)	ICK KIAA0936	Homo sapiens (Human)	632
O15111	IKKA_HUMAN	reviewed	Inhibitor of nuclear factor kappa-B kinase subunit alpha (I-kappa-B kinase alpha) (IKK-A) (IKK-alpha) (IkBKA) (IkappaB kinase) (EC 2.7.11.10) (Conserved helix-loop-helix ubiquitous kinase) (I-kappa-B kinase 1) (IKK1) (Nuclear factor NF-kappa-B inhibitor kinase alpha) (NFKBIKA) (Transcription factor 16) (TCF-16)	CHUK IKKA TCF16	Homo sapiens (Human)	745
O14920	IKKB_HUMAN	reviewed	Inhibitor of nuclear factor kappa-B kinase subunit beta (I-kappa-B-kinase beta) (IKK-B) (IKK-beta) (IkBKB) (EC 2.7.11.10) (I-kappa-B kinase 2) (IKK2) (Nuclear factor NF-kappa-B inhibitor kinase beta) (NFKBIKB)	IKBKB IKKB	Homo sapiens (Human)	756
Q9UHH9	IP6K2_HUMAN	reviewed	Inositol hexakisphosphate kinase 2 (InsP6 kinase 2) (EC 2.7.4.21) (P(i)-uptake stimulator) (PiUS)	IP6K2 IHPK2 TCCCIA00113	Homo sapiens (Human)	426
Q8NFU5	IPMK_HUMAN	reviewed	Inositol polyphosphate multikinase (EC 2.7.1.151) (Inositol 1,3,4,6-tetrakisphosphate 5-kinase)	IPMK IMPK	Homo sapiens (Human)	416
P08069	IGF1R_HUMAN	reviewed	Insulin-like growth factor 1 receptor (EC 2.7.10.1) (Insulin-like growth factor I receptor) (IGF-I receptor) (CD antigen CD221) [Cleaved into: Insulin-like growth factor 1 receptor alpha chain; Insulin-like growth factor 1 receptor beta chain]	IGF1R	Homo sapiens (Human)	1367
Q14164	IKKE_HUMAN	reviewed	Inhibitor of nuclear factor kappa-B kinase subunit epsilon (I-kappa-B kinase epsilon) (IKK-E) (IKK-epsilon) (IkBKE) (EC 2.7.11.10) (Inducible I kappa-B kinase) (IKK-i)	IKBKE IKKE IKKI KIAA0151	Homo sapiens (Human)	716
Q13418	ILK_HUMAN	reviewed	Integrin-linked protein kinase (EC 2.7.11.1) (59 kDa serine/threonine-protein kinase) (ILK-1) (ILK-2) (p59ILK)	ILK ILK1 ILK2	Homo sapiens (Human)	452
Q9H8X2	IPPK_HUMAN	reviewed	Inositol-pentakisphosphate 2-kinase (EC 2.7.1.158) (IPK1 homolog) (Inositol-1,3,4,5,6-pentakisphosphate 2-kinase) (Ins(1,3,4,5,6)P5 2-kinase) (InsP5 2-kinase)	IPPK C9orf12	Homo sapiens (Human)	491
