ENSG00000150540	ENSG00000150540 -> P50135-1;P50135-2;P50135-3	P50135	HNMT_HUMAN
ENSG00000171195		D6RHX1	D6RHX1_HUMAN
ENSG00000171195		Q8TAX7	MUC7_HUMAN
ENSG00000169194		A0A087WW07	A0A087WW07_HUMAN
ENSG00000169194		P35225	IL13_HUMAN
ENSG00000164265		D6RBX5	D6RBX5_HUMAN
ENSG00000164265		Q96PL1	SG3A2_HUMAN
ENSG00000169252		P07550	ADRB2_HUMAN
ENSG00000204632		P17693	HLAG_HUMAN
ENSG00000204632		Q29897	Q29897_HUMAN
ENSG00000204632		Q31611	Q31611_HUMAN
ENSG00000204632		Q5RJ85	Q5RJ85_HUMAN
ENSG00000232810		P01375	TNFA_HUMAN
ENSG00000146070		Q13093	PAFA_HUMAN
ENSG00000012779		A0A087X109	A0A087X109_HUMAN
ENSG00000012779	ENSG00000012779 -> P09917-1;P09917-2	P09917	LOX5_HUMAN
ENSG00000136147		B4DTX8	B4DTX8_HUMAN
ENSG00000136147		C9JQV2	C9JQV2_HUMAN
ENSG00000136147		C9JWH0	C9JWH0_HUMAN
ENSG00000136147		H0Y4X7	H0Y4X7_HUMAN
ENSG00000136147		J3KR57	J3KR57_HUMAN
ENSG00000136147	ENSG00000136147 -> Q9UIL8-1;Q9UIL8-2	Q9UIL8	PHF11_HUMAN
ENSG00000136147		X6RH80	X6RH80_HUMAN
ENSG00000172156		P51671	CCL11_HUMAN
